CMDLINE /home/aliquis/anaconda/bin/python my_range_memory.py
MEM 1.929688 1565820129.2160
MEM 26.968750 1565820129.3163
MEM 37.101562 1565820129.4165
MEM 40.363281 1565820129.5168
MEM 43.851562 1565820129.6170
MEM 47.027344 1565820129.7173
MEM 50.453125 1565820129.8175
MEM 53.878906 1565820129.9177
MEM 57.250000 1565820130.0179
MEM 60.421875 1565820130.1182
MEM 63.847656 1565820130.2184
MEM 66.964844 1565820130.3187
MEM 70.390625 1565820130.4189
MEM 73.757812 1565820130.5191
MEM 76.824219 1565820130.6193
MEM 81.035156 1565820130.7196
MEM 84.460938 1565820130.8198
MEM 87.875000 1565820130.9200
MEM 91.257812 1565820131.0202
MEM 94.429688 1565820131.1204
MEM 97.859375 1565820131.2206
MEM 101.285156 1565820131.3208
MEM 104.398438 1565820131.4211
MEM 107.828125 1565820131.5213
MEM 111.253906 1565820131.6215
MEM 114.621094 1565820131.7217
